Branch 1 | psi: 1.2400 | logL: -180.0547 | obj: 169.8077 | constraint_violation: 2.8602e-10
Branch 2 | psi: 1.2500 | logL: -179.8211 | obj: 169.5506 | constraint_violation: 4.9137e-10
Branch 3 | psi: 1.2600 | logL: -179.5688 | obj: 169.3057 | constraint_violation: 5.9869e-10
Branch 4 | psi: 1.2700 | logL: -179.3572 | obj: 169.0692 | constraint_violation: 5.7296e-10
Branch 5 | psi: 1.2800 | logL: -179.1128 | obj: 168.8427 | constraint_violation: 1.2807e-09
Branch 6 | psi: 1.2900 | logL: -178.9348 | obj: 168.6241 | constraint_violation: 2.9040e-09
Branch 7 | psi: 1.3000 | logL: -178.7083 | obj: 168.4158 | constraint_violation: 2.1657e-09
Branch 8 | psi: 1.3100 | logL: -178.5224 | obj: 168.2174 | constraint_violation: 2.0957e-09
Branch 9 | psi: 1.3200 | logL: -178.3548 | obj: 168.0292 | constraint_violation: 1.3379e-09
Branch 10 | psi: 1.3300 | logL: -178.1805 | obj: 167.8513 | constraint_violation: 1.8574e-09
Branch 11 | psi: 1.3400 | logL: -178.0278 | obj: 167.6840 | constraint_violation: 1.5048e-10
Branch 12 | psi: 1.3500 | logL: -177.8890 | obj: 167.5283 | constraint_violation: 6.2558e-10
Branch 13 | psi: 1.3600 | logL: -177.7538 | obj: 167.3836 | constraint_violation: 7.5992e-10
Branch 14 | psi: 1.3700 | logL: -177.6222 | obj: 167.2509 | constraint_violation: 9.8720e-10
Branch 15 | psi: 1.3800 | logL: -177.4761 | obj: 167.1304 | constraint_violation: 4.2930e-10
Branch 16 | psi: 1.3900 | logL: -177.4050 | obj: 167.0218 | constraint_violation: 1.4680e-10
Branch 17 | psi: 1.4000 | logL: -177.2868 | obj: 166.9266 | constraint_violation: 6.6518e-10
Branch 18 | psi: 1.4100 | logL: -177.1972 | obj: 166.8444 | constraint_violation: 1.9718e-09
Branch 19 | psi: 1.4200 | logL: -177.1231 | obj: 166.7756 | constraint_violation: 6.4582e-10
Branch 20 | psi: 1.4300 | logL: -177.0121 | obj: 166.7229 | constraint_violation: 7.7233e-10
Branch 21 | psi: 1.4400 | logL: -177.0289 | obj: 166.6811 | constraint_violation: 8.5016e-11
Branch 22 | psi: 1.4500 | logL: -176.9527 | obj: 166.6558 | constraint_violation: 6.4581e-10
Branch 23 | psi: 1.4600 | logL: -176.9657 | obj: 166.6456 | constraint_violation: 9.3616e-11
Branch 24 | psi: 1.4700 | logL: -176.9865 | obj: 166.6508 | constraint_violation: 1.3027e-09
Branch 25 | psi: 1.4800 | logL: -177.0055 | obj: 166.6725 | constraint_violation: 6.2347e-10
Branch 26 | psi: 1.4900 | logL: -176.9973 | obj: 166.7098 | constraint_violation: 8.9484e-10
Branch 27 | psi: 1.5000 | logL: -177.0331 | obj: 166.7633 | constraint_violation: 1.9837e-09
Branch 28 | psi: 1.5100 | logL: -177.0495 | obj: 166.8333 | constraint_violation: 1.2540e-09
