Branch 1 | psi: 1.2400 | logL: -180.4654 | obj: 142.1731 | constraint_violation: 1.4106e-09
Branch 2 | psi: 1.2500 | logL: -180.1464 | obj: 141.9585 | constraint_violation: 5.7258e-10
Branch 3 | psi: 1.2600 | logL: -179.9097 | obj: 141.7494 | constraint_violation: 2.2732e-09
Branch 4 | psi: 1.2700 | logL: -179.6893 | obj: 141.5505 | constraint_violation: 2.8408e-10
Branch 5 | psi: 1.2800 | logL: -179.2032 | obj: 141.3640 | constraint_violation: 1.3090e-09
Branch 6 | psi: 1.2900 | logL: -179.0287 | obj: 141.1791 | constraint_violation: 1.3926e-09
Branch 7 | psi: 1.3000 | logL: -178.9262 | obj: 141.0057 | constraint_violation: 3.3465e-10
Branch 8 | psi: 1.3100 | logL: -178.8796 | obj: 140.8383 | constraint_violation: 7.5999e-10
Branch 9 | psi: 1.3200 | logL: -178.5132 | obj: 140.6834 | constraint_violation: 4.7569e-10
Branch 10 | psi: 1.3300 | logL: -178.4518 | obj: 140.5342 | constraint_violation: 2.6784e-10
Branch 11 | psi: 1.3400 | logL: -178.0904 | obj: 140.3971 | constraint_violation: 5.4838e-10
Branch 12 | psi: 1.3500 | logL: -178.0391 | obj: 140.2683 | constraint_violation: 5.9664e-10
Branch 13 | psi: 1.3600 | logL: -177.8744 | obj: 140.1526 | constraint_violation: 1.9706e-09
Branch 14 | psi: 1.3700 | logL: -177.7589 | obj: 140.0420 | constraint_violation: 1.2084e-09
Branch 15 | psi: 1.3800 | logL: -177.6114 | obj: 139.9446 | constraint_violation: 7.4463e-10
Branch 16 | psi: 1.3900 | logL: -177.4850 | obj: 139.8575 | constraint_violation: 4.0641e-10
Branch 17 | psi: 1.4000 | logL: -177.2281 | obj: 139.7829 | constraint_violation: 2.5611e-10
Branch 18 | psi: 1.4100 | logL: -177.3857 | obj: 139.7125 | constraint_violation: 3.9643e-11
Branch 19 | psi: 1.4200 | logL: -177.1107 | obj: 139.6583 | constraint_violation: 2.3319e-09
Branch 20 | psi: 1.4300 | logL: -177.0405 | obj: 139.6148 | constraint_violation: 1.9965e-09
Branch 21 | psi: 1.4400 | logL: -177.0155 | obj: 139.5845 | constraint_violation: 9.4464e-10
Branch 22 | psi: 1.4500 | logL: -176.9680 | obj: 139.5636 | constraint_violation: 3.7148e-10
Branch 23 | psi: 1.4600 | logL: -176.8070 | obj: 139.5556 | constraint_violation: 1.0648e-10
Branch 24 | psi: 1.4700 | logL: -176.7545 | obj: 139.5626 | constraint_violation: 1.9073e-10
Branch 25 | psi: 1.4800 | logL: -176.8196 | obj: 139.5768 | constraint_violation: 9.1237e-11
Branch 26 | psi: 1.4900 | logL: -176.8434 | obj: 139.6089 | constraint_violation: 1.3974e-06
Branch 27 | psi: 1.5000 | logL: -176.8099 | obj: 139.6518 | constraint_violation: 5.4450e-08
Branch 28 | psi: 1.5100 | logL: -176.6760 | obj: 139.7193 | constraint_violation: 3.6506e-07
Branch 29 | psi: 1.5200 | logL: -177.0079 | obj: 139.7877 | constraint_violation: 5.3796e-07
Branch 30 | psi: 1.5300 | logL: -177.0400 | obj: 139.8956 | constraint_violation: 1.8139e-06
Branch 31 | psi: 1.5400 | logL: -177.0950 | obj: 139.9694 | constraint_violation: 1.8144e-06
Branch 32 | psi: 1.5500 | logL: -177.1668 | obj: 140.0876 | constraint_violation: 4.1156e-06
Branch 33 | psi: 1.5600 | logL: -177.2192 | obj: 140.2541 | constraint_violation: 3.2724e-08
Branch 34 | psi: 1.5700 | logL: -177.2901 | obj: 140.3638 | constraint_violation: 2.3319e-06
Branch 35 | psi: 1.5800 | logL: -177.4366 | obj: 140.5312 | constraint_violation: 5.0044e-08
Branch 36 | psi: 1.5900 | logL: -177.4197 | obj: 140.7045 | constraint_violation: 8.3061e-07
Branch 37 | psi: 1.6000 | logL: -177.6323 | obj: 140.9061 | constraint_violation: 1.6835e-06
Branch 38 | psi: 1.6100 | logL: -177.8719 | obj: 141.1295 | constraint_violation: 5.7627e-07
Branch 39 | psi: 1.6200 | logL: -178.0122 | obj: 141.3763 | constraint_violation: 8.6427e-07
Branch 40 | psi: 1.6300 | logL: -178.3334 | obj: 141.6452 | constraint_violation: 6.1227e-06
Branch 41 | psi: 1.6400 | logL: -178.4793 | obj: 141.9365 | constraint_violation: 4.9704e-07
Branch 42 | psi: 1.6500 | logL: -178.5646 | obj: 142.2586 | constraint_violation: 4.9308e-07
Branch 43 | psi: 1.6600 | logL: -178.9479 | obj: 142.6085 | constraint_violation: 4.7144e-07
Branch 44 | psi: 1.6700 | logL: -179.3709 | obj: 142.9938 | constraint_violation: 3.8158e-08
Branch 45 | psi: 1.6800 | logL: -179.7140 | obj: 143.4189 | constraint_violation: 7.3349e-08
Branch 46 | psi: 1.6900 | logL: -180.1477 | obj: 143.8835 | constraint_violation: 2.8908e-08
Branch 47 | psi: 1.7000 | logL: -180.6986 | obj: 144.4001 | constraint_violation: 1.9830e-09
Branch 48 | psi: 1.7100 | logL: -181.2427 | obj: 144.9749 | constraint_violation: 2.3843e-09
Branch 49 | psi: 1.7200 | logL: -181.7376 | obj: 145.6193 | constraint_violation: 3.8835e-09
Branch 50 | psi: 1.7300 | logL: -182.4857 | obj: 146.3391 | constraint_violation: 1.7092e-09
Branch 51 | psi: 1.7400 | logL: -183.2397 | obj: 147.1726 | constraint_violation: 4.9987e-09
Branch 52 | psi: 1.7500 | logL: -184.0110 | obj: 148.1397 | constraint_violation: 6.5029e-09
Branch 53 | psi: 1.7600 | logL: -184.9974 | obj: 149.2840 | constraint_violation: 1.3851e-09
